,result,table,_time,cpuUsage,diskRead,diskUsage,diskWrite,memoryUsage,networkDownload,networkUpload
,_result,0,2026-09-03T03:26:26.376Z,2.24,4844100.262047164,0.61,3295025.5171187604,38.36,5823585.459102752,4528735.553219604
,_result,0,2026-09-03T03:26:30.996Z,64.32,9709413.366241053,17.79,8943757.602043696,82.21,2465093.244256519,5454562.503390746
,_result,0,2026-09-03T03:26:36.386Z,58.96,6536754.106544656,93.64,8984541.62812439,86.53,3090330.793203194,9620492.030859744
,_result,0,2026-09-03T03:26:41.007Z,32.49,9004207.893648162,11.03,3615572.332749315,3.93,890882.6726787922,8573115.960294038
,_result,0,2026-09-03T03:26:46.396Z,29.71,8709540.87342336,60.08,9970736.203958439,83.65,1047058.7759331518,3417064.068763236
,_result,0,2026-09-03T03:26:51.016Z,13.79,8102147.694641465,62.62,9386187.932638714,48.26,2170154.3478844245,5477168.544149455
,_result,0,2026-09-03T03:26:56.404Z,67.55,2680818.291480648,47.3,2807672.0769973127,0.85,3902859.566171113,9049048.820045495
,_result,0,2026-09-03T03:27:01.028Z,80.59,9719891.76508653,24.28,5207342.754022098,52.94,5325986.779446545,9024506.366415966
,_result,0,2026-09-03T03:27:06.413Z,60.69,3641225.6258580643,55.54,7175767.545041923,98.84,2003988.452110338,7130033.510144102
,_result,0,2026-09-03T03:27:11.044Z,64.16,882063.9322273937,52.7,2578178.107597219,53.01,7598118.324602036,4886105.584080788
,_result,0,2026-09-03T03:27:16.421Z,44.64,2569918.533080049,69.64,2108512.8930631583,36.22,8318895.300356305,368105.8204331145
,_result,0,2026-09-03T03:27:21.052Z,14.12,7053152.048794961,71.22,4786871.12514728,58.9,5881052.265248664,7749947.958691974
,_result,0,2026-09-03T03:27:26.431Z,91.27,8653926.433754914,90.94,8790561.671027439,87.96,1613608.5074147854,3596876.7814929835
,_result,0,2026-09-03T03:27:31.061Z,43.04,9731135.021916987,94.89,7270616.425255141,86.52,730599.594025123,7985348.381165613
,_result,0,2026-09-03T03:27:36.443Z,4.63,9415816.550646499,81.45,3741016.4867019425,27.08,8128398.170112008,3643401.529972932
,_result,0,2026-09-03T03:27:41.072Z,45.76,7699558.963284625,80.48,999526.110896144,36.92,8565757.052421566,2579529.9438594556
,_result,0,2026-09-03T03:27:46.453Z,31.82,7207659.910571116,41.6,9418709.50800616,37,979119.2462429388,773722.8164705257
,_result,0,2026-09-03T03:27:51.082Z,70.65,2519891.530725058,64.66,1355565.5614338769,91.02,711909.744026591,7078611.474152577
,_result,0,2026-09-03T03:27:56.463Z,94.67,7014851.618370336,7.18,1753842.0927549426,44.87,7513440.357796615,5231980.691411699
,_result,0,2026-09-03T03:28:01.091Z,74.67,1734051.5510394028,25.76,9708726.20480341,45.29,2599135.58979584,9470502.4817941
,_result,0,2026-09-03T03:28:06.477Z,56.17,6869148.283301738,76.84,73741.9253389926,38.14,1754234.3563313878,30275.571691990022
,_result,0,2026-09-03T03:28:11.103Z,39.97,8755694.483879218,20.69,102720.45494203686,4.15,28891.103579753442,6438465.31635735
,_result,0,2026-09-03T03:28:16.487Z,64.52,2673091.9316919832,69.4,7980941.026992836,55.7,8962837.362314746,6509833.045454867
,_result,0,2026-09-03T03:28:21.112Z,45.35,4309024.432483595,17.93,7466899.385460521,30.21,7218156.536278657,7239701.905533499
,_result,0,2026-09-03T03:28:26.496Z,9.96,6495995.304230542,94.42,3566069.684682951,12.05,9542456.996696472,8817493.774125317
,_result,0,2026-09-03T03:28:31.125Z,79.56,1044831.2857185637,90.57,940682.0501356783,74.94,4169685.8877471685,572456.515042149
,_result,0,2026-09-03T03:28:36.504Z,58.9,449186.11086386506,91.67,7069963.812898602,33.6,1935476.5178500277,3278725.460760714
,_result,0,2026-09-03T03:28:41.136Z,24.67,3456180.1793328375,84.04,2368376.0515741426,14.08,5891944.303776174,5681880.323184987
,_result,0,2026-09-03T03:28:46.515Z,8.29,6513538.378376547,75.02,3381577.131940371,60.27,3731961.8192307013,4690841.719669992
,_result,0,2026-09-03T03:28:51.147Z,3.59,6238345.9046985,83.81,3750166.105021946,82.63,6368529.980598235,2852402.163877238
,_result,0,2026-09-03T03:28:56.524Z,79.55,5611846.53104334,77.72,6015547.015601137,61.75,7840579.697545894,3367760.8425761764
,_result,0,2026-09-03T03:29:01.157Z,55.48,9169985.488224668,6.92,3758585.752530267,1.13,5384641.221211328,6429406.566256273
,_result,0,2026-09-03T03:29:06.535Z,82.04,3496894.5105475,36.11,4774650.753716412,32.8,8440949.35797944,3152408.504887666
,_result,0,2026-09-03T03:29:11.167Z,47.62,3691731.8667342514,97.99,6425415.878865564,41.02,8511096.136979189,4284376.316974434
,_result,0,2026-09-03T03:29:16.544Z,1.65,1471479.6045994738,50.7,7381838.034081859,76.95,4978876.622932411,8721669.392269362
,_result,0,2026-09-03T03:29:21.181Z,76.72,2199598.5395529005,78.69,4989011.031729407,55.05,7235788.041378832,3767758.100776867
,_result,0,2026-09-03T03:29:26.552Z,87.29,2606439.224390259,33.82,5942786.836512928,51.02,4333097.020747123,6201600.755180029
,_result,0,2026-09-03T03:29:31.193Z,98.04,8596463.089058097,78.83,7561983.874441597,53.57,4516546.58057236,9366939.73140145
,_result,0,2026-09-03T03:29:36.562Z,32.51,8699121.88548273,90.02,8273846.88928506,22.17,2948390.0951617826,5459612.519186414
,_result,0,2026-09-03T03:29:41.201Z,77.68,8636618.77883455,38.34,1307590.118684242,31.72,9383543.861686308,9315552.353558686
,_result,0,2026-09-03T03:29:46.578Z,45.66,9058642.008674623,60.91,5484939.365065746,30.23,9351429.131486747,2316988.264520351
,_result,0,2026-09-03T03:29:51.211Z,92.05,1312867.6492365387,95.6,6713095.887941566,19.03,8458027.558659665,5736522.5215329295
,_result,0,2026-09-03T03:29:56.587Z,27.6,3159936.8057271536,56.54,337001.4024645163,98.07,1377416.2792317036,5024247.618885023
,_result,0,2026-09-03T03:30:01.22Z,92.16,5838422.002302489,29.41,3481524.1707412447,31.09,8627744.54962243,7926833.758445165
,_result,0,2026-09-03T03:30:06.595Z,12.68,1929169.9746516934,17.03,6223891.686508607,58.52,8718067.775493277,9173837.865369955
,_result,0,2026-09-03T03:30:11.23Z,16.99,6999891.482429284,10.55,1192328.0457987029,80.38,7279431.634430613,1989350.2445026434
,_result,0,2026-09-03T03:30:16.603Z,85.28,9714362.457188267,42.23,3498856.787731981,51.36,3101841.26446287,1361327.9215983732
,_result,0,2026-09-03T03:30:21.242Z,93.21,8891910.045284823,11.06,2448292.628966976,52.99,7274927.516128553,6462223.570303053
,_result,0,2026-09-03T03:30:26.613Z,89.87,8411385.847696617,81.95,6403024.756355259,37.93,1572597.5937203262,4444364.943011715
,_result,0,2026-09-03T03:30:31.252Z,9.22,5953140.535546217,48.24,8839806.390189735,58.34,8735504.340412863,3271372.749274829
,_result,0,2026-09-03T03:30:36.622Z,35.95,524916.5913102027,25.01,472021.1056915724,30.05,9223740.814901227,7088428.90883941
,_result,0,2026-09-03T03:30:41.26Z,88.72,5849117.476202586,37.17,8302376.111575726,45.4,58923.24204423094,5000689.181426562
,_result,0,2026-09-03T03:30:46.632Z,20.04,5494119.0537991095,2.79,8438088.918101307,62.9,8493768.97848257,2510537.1502182325
,_result,0,2026-09-03T03:30:51.272Z,96.39,5332093.95410423,67.01,5835192.360242893,52.74,4155086.7522920263,7699146.356509646
,_result,0,2026-09-03T03:30:56.64Z,50.33,1431461.337637442,57.31,2413588.949228216,64.13,62729.75033751904,4044465.8539185575
,_result,0,2026-09-03T03:31:01.284Z,56.16,7284677.819241564,85.45,2227274.311110309,26.39,9130580.331691934,707123.6570511896
,_result,0,2026-09-03T03:31:06.65Z,93.49,4632566.689892383,97.87,5823908.039567027,56.63,7051534.866360304,6068206.635636095
,_result,0,2026-09-03T03:31:11.293Z,66.72,7578760.713229667,36.08,483095.2471460159,54.3,6528448.011759848,2353274.079786696
,_result,0,2026-09-03T03:31:16.659Z,18.42,7233721.659515496,8.13,4745131.762981692,10.03,9077658.74471035,3981686.4906272
,_result,0,2026-09-03T03:31:21.301Z,5.43,9320840.051774425,7.2,7545952.63460682,96.89,9777011.743322186,7457315.6276909225
,_result,0,2026-09-03T03:31:26.671Z,41.55,1807748.125732167,19.17,8191534.185248065,30.36,942403.2631107693,515206.92157944746
,_result,0,2026-09-03T03:31:31.312Z,25.66,3837350.992296562,29.93,2928834.403541035,77.49,7009417.48422006,1315805.3895015686
,_result,0,2026-09-03T03:31:36.681Z,63.43,6944217.835699458,88.65,1472458.386711487,50.53,6998618.262865636,3967042.098760641
,_result,0,2026-09-03T03:31:41.325Z,70.65,6288282.984301216,36.78,7976894.7143343715,84.65,2104436.2450453434,5232741.460434151
,_result,0,2026-09-03T03:31:46.693Z,11.38,8466140.282783702,60.53,8713835.813314218,37.43,9657169.463680148,4228852.435539713
,_result,0,2026-09-03T03:31:51.333Z,86.62,1762444.2439740873,51.8,1339775.4944397323,79.96,8893575.35103598,2355992.506071584
,_result,0,2026-09-03T03:31:56.701Z,2.06,4555773.7629297115,12.93,3919628.0390077964,11.54,6192459.2423215015,1712303.629844647
,_result,0,2026-09-03T03:32:01.342Z,71.99,1181783.9093096915,47.09,5751346.486079169,99.78,8404007.001204133,4614325.130596695
,_result,0,2026-09-03T03:32:06.709Z,71.1,4433228.14523547,22.83,784291.8233039143,92.07,9921999.480439335,9418038.570401188
,_result,0,2026-09-03T03:32:11.35Z,43.24,6577116.49457682,59.37,3967000.277605783,61.36,3689831.370138703,1455051.4774699265
,_result,0,2026-09-03T03:32:16.771Z,23.7,2516855.79258913,47.51,6975574.63710476,59.25,7050350.897251998,1657877.5062972496
,_result,0,2026-09-03T03:32:21.363Z,28.59,8264545.472015974,80.71,670499.118109944,56.77,2857674.066874177,5421858.186368212
,_result,0,2026-09-03T03:32:27.161Z,73.63,766398.9308859764,21.43,4972358.299839683,43.98,1484431.2711828388,4470174.1652609585
,_result,0,2026-09-03T03:32:31.372Z,35.42,773175.6638737153,82.88,82981.60846783032,18.47,3826126.3143700142,5207076.280489494
,_result,0,2026-09-03T03:32:37.186Z,70.98,2483083.3774186424,77.89,3861094.1731601954,6.66,5110688.382769463,5318101.044551618
,_result,0,2026-09-03T03:32:41.38Z,12.03,4300098.727546503,68.74,5707675.292288776,55.99,1799664.9679520938,1881653.002628959
,_result,0,2026-09-03T03:32:47.196Z,0.73,4422440.534934335,73.44,7983876.236516652,98.9,1065594.5814356403,4473558.286869048
,_result,0,2026-09-03T03:32:51.389Z,53.2,5634164.354987612,64.49,8425024.138983736,36.8,9831869.399838598,3521610.276104229
,_result,0,2026-09-03T03:32:57.206Z,67.51,1953401.1297823861,36.09,1893362.1458327922,58.05,6438938.800455241,1724540.769394326
,_result,0,2026-09-03T03:33:01.402Z,42.4,3828815.2566923215,28.36,1931050.880677747,82.17,1091827.224512989,7874032.830706898
,_result,0,2026-09-03T03:33:07.218Z,56.44,50570.75120729837,30.48,2730059.364989963,17.06,9576559.498533115,7746618.846034929
,_result,0,2026-09-03T03:33:11.41Z,6.51,7113588.71848071,22.71,1735813.9247317205,5.9,7775467.951209675,648734.376622584
,_result,0,2026-09-03T03:33:17.226Z,72.09,93061.9320136128,23.57,5855501.951619576,40.41,4769540.981727075,4843941.366807697
,_result,0,2026-09-03T03:33:21.418Z,77.62,7252565.296052965,26.37,1623317.913586102,64.28,8164897.9312498495,3300105.184094795
,_result,0,2026-09-03T03:33:27.233Z,23.9,3169048.1282884465,62.76,5600882.905175234,78.88,9799415.137782047,4310401.258258141
,_result,0,2026-09-03T03:33:31.431Z,6.47,5360694.239321274,77.58,2912933.3880241383,6.69,1422003.1638381493,9247837.718937628
,_result,0,2026-09-03T03:33:37.242Z,28.45,1380518.1778439367,52.69,9801320.901917059,20.69,7174712.044676553,982072.3995104474
,_result,0,2026-09-03T03:33:41.439Z,65.53,2872625.9836152056,9.75,1435192.898444889,3.72,2818990.599939416,4380836.414179816
,_result,0,2026-09-03T03:33:47.249Z,97.58,7157920.31005183,93.41,6845728.945777021,88.3,6388476.979079335,5756918.620248106
,_result,0,2026-09-03T03:33:51.447Z,11.53,2585765.660148731,68.46,8549857.609498909,2.18,8346487.130813469,9481957.021524228
,_result,0,2026-09-03T03:33:57.26Z,22.61,8212332.894256635,87.23,6051167.2925778255,31.27,7094343.851265983,7494990.4237310225
,_result,0,2026-09-03T03:34:01.456Z,82.99,3774200.1669288483,9,5570900.944817359,80.24,1032932.768626722,6675903.246637254
,_result,0,2026-09-03T03:34:07.275Z,27.16,2941617.035098304,16.77,2959632.213018477,41.94,5074183.035690664,6118300.013262466
,_result,0,2026-09-03T03:34:11.464Z,44.26,4000156.7440758413,58.95,7833307.019949604,9.66,2567369.5266271755,9556709.356525464
,_result,0,2026-09-03T03:34:17.283Z,54.62,9626848.385509701,81.31,5095642.1894662995,21.81,4294767.498824788,4728119.828648834
,_result,0,2026-09-03T03:34:21.475Z,67.77,1277037.9480618367,70.24,3243204.810111637,50,7411801.361554289,7415110.228474331
,_result,0,2026-09-03T03:34:27.29Z,1.66,4542148.893017879,75.53,7450954.098130663,98.25,4576376.840661334,7168812.3994232975
,_result,0,2026-09-03T03:34:31.484Z,58.39,9880237.83717505,75.74,8984772.454780044,76.52,9177152.66795694,8047137.723838219
,_result,0,2026-09-03T03:34:37.461Z,69.35,4041706.1319279536,44.77,9809291.691935867,81.44,7938820.61493968,1436080.5371234354
,_result,0,2026-09-03T03:34:41.494Z,99.46,2549978.905013588,27.8,6025558.13051197,11.06,2667142.564194037,982508.8062828468
,_result,0,2026-09-03T03:34:47.481Z,77.41,7715501.519616835,54.28,4961861.280476957,18.31,8288494.424857178,430432.22649957635
,_result,0,2026-09-03T03:34:51.503Z,74.38,9041392.460646732,66.93,8404371.17715054,28.59,9595976.466979863,8932935.347213749
,_result,0,2026-09-03T03:34:57.491Z,28.13,8964025.540352339,98.16,3288165.428287394,47.61,724231.1808111978,5505987.6031720815
,_result,0,2026-09-03T03:35:01.513Z,11.06,2142826.558035763,99.31,1794488.461264524,98.3,7055809.311378774,8767393.40232158
,_result,0,2026-09-03T03:35:07.5Z,79.39,147644.7833672301,14.15,4741233.272210067,90.81,3393437.9079926503,8373770.020471185
,_result,0,2026-09-03T03:35:11.525Z,77.85,6618986.717472886,30.83,5366189.091455653,91.4,3030294.629105128,9458792.82369398
,_result,0,2026-09-03T03:35:17.508Z,47.37,8481800.331646021,11.12,4646090.051159271,70.13,6275678.70722145,8675777.756702801
,_result,0,2026-09-03T03:35:21.537Z,11.66,2863197.8351559793,35.9,7303326.168801662,94.49,8108924.925636074,7337322.474367673
,_result,0,2026-09-03T03:35:27.517Z,68.54,5941036.702307766,88.47,6268341.431960733,5.12,4421293.920160974,9910532.088222694
,_result,0,2026-09-03T03:35:31.548Z,24.02,873177.4239585965,22.11,5257524.491500657,70.85,1013027.0018603393,3651977.9132633223
,_result,0,2026-09-03T03:35:37.525Z,2.18,648247.8391542212,31.91,3519560.626384044,12.93,8011008.133272375,5965603.011663317
,_result,0,2026-09-03T03:35:41.558Z,13.12,523762.49376960396,33.35,2561617.2889919695,16.77,1185684.1320631017,9417055.197758041
,_result,0,2026-09-03T03:35:47.534Z,47.19,6166887.198523016,59.06,6577940.733794465,82.1,123595.48871131332,6848855.646199803
,_result,0,2026-09-03T03:35:51.573Z,11.99,5614471.201900979,65.2,6862615.220721642,40.15,8917375.534836479,1599429.577287871
,_result,0,2026-09-03T03:35:57.542Z,89.67,807872.0665661299,90.58,6962813.38106098,2.41,60925.72235155136,7574586.4672466125
,_result,0,2026-09-03T03:36:01.583Z,88.81,8015556.973217921,10.69,4678299.022199246,83.77,8832337.633719144,8307292.217343354
,_result,0,2026-09-03T03:36:07.55Z,22.58,322047.4811568452,72.09,8783493.431816272,41.26,1281489.2376300225,8976164.192698022
,_result,0,2026-09-03T03:36:11.594Z,95.09,2797071.481683313,99.89,4170631.730754295,0.31,5231520.249332987,4476357.075736404
,_result,0,2026-09-03T03:36:17.559Z,5.06,5790219.021726288,61.5,6888078.429924348,9.23,2595329.8047592468,1510211.3066014678
,_result,0,2026-09-03T03:36:21.608Z,10.6,3413953.550141209,18.73,9546109.348186921,25.77,7462915.660901018,4005898.4430342903
,_result,0,2026-09-03T03:36:27.57Z,46.29,7782231.892598652,84.92,4790618.357578217,2.21,2025750.1684234801,5414871.306258626
,_result,0,2026-09-03T03:36:31.621Z,38.43,4347701.828327658,5.67,9356453.13760382,39.51,7999783.379195096,768342.0684765885
,_result,0,2026-09-03T03:36:37.582Z,65.78,738336.1276733758,1.37,859406.3524573614,97.75,4247107.115824801,1484965.2710664095
,_result,0,2026-09-03T03:36:41.63Z,66.62,3565513.40025573,77.74,2250577.966975549,73.87,4007458.9958252083,3614666.7230230467
,_result,0,2026-09-03T03:36:47.592Z,51.09,2308720.0968626644,88.89,4360455.860884336,46.04,1699429.1860359157,8598865.001708286
,_result,0,2026-09-03T03:36:51.638Z,33.21,5990899.216030946,97.9,2080918.6353594488,51.68,5366537.34355654,5916105.878619047
,_result,0,2026-09-03T03:36:57.601Z,64.81,6225020.292367011,32.72,4529214.8869941505,31.79,4748203.110106249,3683032.0853758724
,_result,0,2026-09-03T03:37:01.647Z,90.87,986881.6753576692,50.63,5572436.200662196,22.61,3219844.047771484,7247190.602370145
,_result,0,2026-09-03T03:37:07.609Z,91.13,8824274.932300514,69.25,3040733.385606669,23.7,8292991.927293077,4389805.416503954
,_result,0,2026-09-03T03:37:11.656Z,13.18,3176397.296052733,18.82,724259.0425839613,51.54,9904565.801320007,3184701.877084033
,_result,0,2026-09-03T03:37:17.62Z,64.31,3330871.486459086,11.2,4545768.976530464,67.05,3265835.5146839046,1552821.4844704424
,_result,0,2026-09-03T03:37:21.665Z,14.79,6124663.175007655,28.54,8803939.017717114,79.79,2937087.3756906902,6012494.869636527
,_result,0,2026-09-03T03:37:27.63Z,54.48,1460470.9740081867,38.83,6288685.338770304,3.54,1042536.7006823061,3887964.5190759026
,_result,0,2026-09-03T03:37:31.676Z,11.94,5987761.023765007,58.37,9273755.477037532,53.69,3613725.9579396253,9588588.116298933
,_result,0,2026-09-03T03:37:37.639Z,73.19,6690944.805954674,94.81,3135875.30807203,34.57,5972969.794088265,592850.4458752548
,_result,0,2026-09-03T03:37:41.687Z,90.66,9369421.854804667,29.32,505755.1719022657,69.07,8194327.991862704,9004145.57694332
,_result,0,2026-09-03T03:37:47.646Z,70.54,9491327.288832214,56.88,1040544.3318368013,16.58,9120530.928747961,4276249.892428191
,_result,0,2026-09-03T03:37:51.703Z,34.49,8906459.145360786,51,2087735.6332430409,23.92,5441180.345958615,2442993.736914094
,_result,0,2026-09-03T03:37:57.654Z,33.28,4577816.011163852,7.07,8215500.373890177,93.83,4213837.570252665,378092.76115678967
,_result,0,2026-09-03T03:38:01.715Z,66.31,1831454.425029031,33.01,4437945.499871499,39.03,9825690.531285448,5647376.43479023
,_result,0,2026-09-03T03:38:07.666Z,33.38,9238728.947551193,94.92,4758356.412207226,85.19,7797482.835206457,7115800.072152113
,_result,0,2026-09-03T03:38:11.729Z,45.13,5629148.30737086,80.44,3302429.627172099,85.11,2032353.457882181,4038053.9611330624
,_result,0,2026-09-03T03:38:17.674Z,48.39,2775957.362590965,97.39,1092953.9158354662,95.91,8439129.235756071,6256794.751450091
,_result,0,2026-09-03T03:38:21.742Z,6.22,5162872.835286814,76.53,3003913.8349375217,31.2,2791225.9687422323,4326626.847555528
,_result,0,2026-09-03T03:38:27.681Z,34.25,8036769.73890179,25.77,657140.073839162,45.75,1180443.5397776202,6823501.250645313
,_result,0,2026-09-03T03:38:31.756Z,56.28,7523736.986612757,59.69,141101.5418606687,20,1603838.9896316396,3177188.8011411508
,_result,0,2026-09-03T03:38:37.69Z,99.06,4436231.638466286,10.84,5380367.81376313,79.98,9423897.531379545,805430.3642326854
,_result,0,2026-09-03T03:38:41.768Z,60.22,4650783.085066189,59.21,1554669.5535343625,34.13,3234549.969924193,6158736.351619417
,_result,0,2026-09-03T03:38:47.698Z,59.4,9613280.727268714,41.58,8666280.661931518,59.52,5558047.864337624,646882.5713391979
,_result,0,2026-09-03T03:38:51.78Z,30.62,4817121.427684708,84.93,3339101.3059654874,85.09,9085066.18343562,9760794.510984233
,_result,0,2026-09-03T03:38:57.709Z,64.18,3990859.3860598663,26.41,5365528.524329921,2.69,610802.682540531,1314985.4536699902
,_result,0,2026-09-03T03:39:01.789Z,25.78,6083330.25337377,51.16,6199658.254897325,46.27,5459355.890988627,1232487.7797643675
,_result,0,2026-09-03T03:39:07.718Z,13.93,6955850.014995504,15.92,9230207.149865752,65.7,8586320.84293636,7209301.725519872
,_result,0,2026-09-03T03:39:41.831Z,65.44,7692360.90362712,49.92,1719279.7033276795,91.99,2185594.1768129184,9320007.58796586
,_result,0,2026-09-03T03:39:47.743Z,99.11,1295557.1749295192,26.71,9367255.772203662,77.85,6069893.585044787,7691299.324162573
,_result,0,2026-09-03T03:39:51.842Z,99.6,4043376.53618833,55.15,5044496.745886861,24.33,3712639.923998344,8108100.361337162
,_result,0,2026-09-03T03:39:57.751Z,56.88,804886.2420509384,28.11,1117388.4219679087,15.49,4604687.1215811195,1523045.4522151416
,_result,0,2026-09-03T03:40:01.853Z,18.98,9597312.408975737,72.77,782435.7836198948,68.72,6265907.9096701555,740864.4239334384
,_result,0,2026-09-03T03:40:07.828Z,77.88,9019140.620697558,7.68,3852456.0916270735,72.33,6461811.151813364,7864463.114748268
,_result,0,2026-09-03T03:40:11.863Z,26.74,4102683.0242329626,80.1,17974.102172763072,65.85,8096446.039873074,7598345.627798516
,_result,0,2026-09-03T03:40:17.855Z,65.28,1542130.6260866418,95.62,8900732.371637855,9.64,2578904.4163429677,9701293.403226566
,_result,0,2026-09-03T03:40:21.873Z,6.59,9398573.294641199,28.44,5268907.932566305,81.61,6496061.924057617,892898.866652121
,_result,0,2026-09-03T03:40:27.881Z,62.14,1820710.3531241263,64.98,2606045.891379063,51.39,61916.6507399338,9434982.44967442
,_result,0,2026-09-03T03:40:31.884Z,49.3,7557914.226607291,81.08,4802249.052054044,85.02,2610521.4456207315,4881676.298494935
,_result,0,2026-09-03T03:40:37.988Z,87.91,518922.3313895408,88.24,7289414.497339694,73.92,3411599.025500844,594839.3084552139
,_result,0,2026-09-03T03:40:41.894Z,84.88,9128732.751936631,62.7,777012.0326290797,91.1,9343612.193192942,5288996.520171634
,_result,0,2026-09-03T03:40:47.998Z,32.86,2538769.8276167247,91.28,9846204.629793165,31.98,2730003.096890876,8755798.025520766
,_result,0,2026-09-03T03:40:51.904Z,73.95,156763.4071550317,83.94,8896471.065980513,0.02,6536910.546602582,1978453.3897543976
,_result,0,2026-09-03T03:40:58.009Z,78.02,3034428.9938924983,34.88,9028065.135084393,75.26,1492997.294557078,5352922.591618071
,_result,0,2026-09-03T03:41:01.913Z,7.1,9679439.359262783,93.56,1587392.7635709029,39.63,7202295.630984495,3788701.9372230577
,_result,0,2026-09-03T03:41:08.02Z,79.75,9408697.006085882,45.7,3576680.5906940144,91.53,4947377.952033123,9781694.320535462
,_result,0,2026-09-03T03:41:11.925Z,22.58,4533434.351779528,21.12,2239728.9238108397,42.52,9083417.90690381,971816.2036349465
,_result,0,2026-09-03T03:41:18.032Z,87.19,8944416.516195102,2.03,8492533.403001608,75.91,4453381.031783801,6905784.48547376
,_result,0,2026-09-03T03:41:21.936Z,2.97,6697869.5424955925,38.85,1984099.713000823,44.2,5825698.494826108,249578.3910974392
,_result,0,2026-09-03T03:41:58.065Z,66.54,6476109.605036401,49.95,7961194.724822727,36.32,7626940.123012442,642370.9314120373
,_result,0,2026-09-03T03:42:01.958Z,6.35,3365291.048091493,8.2,7800437.700880108,25.44,1647916.8257498734,9553426.654917639
